Datum;Feiertag
01.01.2015;1
03.04.2015;1
05.04.2015;1
06.04.2015;1
01.05.2015;1
14.05.2015;1
24.05.2015;1
25.05.2015;1
03.10.2015;1
25.12.2015;1
26.12.2015;1
01.01.2016;1
25.03.2016;1
27.03.2016;1
28.03.2016;1
01.05.2016;1
05.05.2016;1
15.05.2016;1
16.05.2016;1
03.10.2016;1
25.12.2016;1
26.12.2016;1
01.01.2017;1
14.04.2017;1
16.04.2017;1
17.04.2017;1
01.05.2017;1
25.05.2017;1
04.06.2017;1
05.06.2017;1
03.10.2017;1
31.10.2017;1
25.12.2017;1
26.12.2017;1
01.01.2018;1
30.03.2018;1
01.04.2018;1
02.04.2018;1
01.05.2018;1
10.05.2018;1
20.05.2018;1
21.05.2018;1
03.10.2018;1
31.10.2018;1
25.12.2018;1
26.12.2018;1
01.01.2019;1
19.04.2019;1
21.04.2019;1
22.04.2019;1
01.05.2019;1
30.05.2019;1
09.06.2019;1
10.06.2019;1
03.10.2019;1
31.10.2019;1
25.12.2019;1
26.12.2019;1
01.01.2020;1
10.04.2020;1
12.04.2020;1
13.04.2020;1
01.05.2020;1
21.05.2020;1
31.05.2020;1
01.06.2020;1
