Datum;Jahreszeit
01.07.2013;Sommer
02.07.2013;Sommer
03.07.2013;Sommer
04.07.2013;Sommer
05.07.2013;Sommer
06.07.2013;Sommer
07.07.2013;Sommer
08.07.2013;Sommer
09.07.2013;Sommer
10.07.2013;Sommer
11.07.2013;Sommer
12.07.2013;Sommer
13.07.2013;Sommer
14.07.2013;Sommer
15.07.2013;Sommer
16.07.2013;Sommer
17.07.2013;Sommer
18.07.2013;Sommer
19.07.2013;Sommer
20.07.2013;Sommer
21.07.2013;Sommer
22.07.2013;Sommer
23.07.2013;Sommer
24.07.2013;Sommer
25.07.2013;Sommer
26.07.2013;Sommer
27.07.2013;Sommer
28.07.2013;Sommer
29.07.2013;Sommer
30.07.2013;Sommer
31.07.2013;Sommer
01.08.2013;Sommer
02.08.2013;Sommer
03.08.2013;Sommer
04.08.2013;Sommer
05.08.2013;Sommer
06.08.2013;Sommer
07.08.2013;Sommer
08.08.2013;Sommer
09.08.2013;Sommer
10.08.2013;Sommer
11.08.2013;Sommer
12.08.2013;Sommer
13.08.2013;Sommer
14.08.2013;Sommer
15.08.2013;Sommer
16.08.2013;Sommer
17.08.2013;Sommer
18.08.2013;Sommer
19.08.2013;Sommer
20.08.2013;Sommer
21.08.2013;Sommer
22.08.2013;Sommer
23.08.2013;Sommer
24.08.2013;Sommer
25.08.2013;Sommer
26.08.2013;Sommer
27.08.2013;Sommer
28.08.2013;Sommer
29.08.2013;Sommer
30.08.2013;Sommer
31.08.2013;Sommer
01.09.2013;Sommer
02.09.2013;Sommer
03.09.2013;Sommer
04.09.2013;Sommer
05.09.2013;Sommer
06.09.2013;Sommer
07.09.2013;Sommer
08.09.2013;Sommer
09.09.2013;Sommer
10.09.2013;Sommer
11.09.2013;Sommer
12.09.2013;Sommer
13.09.2013;Sommer
14.09.2013;Sommer
15.09.2013;Sommer
16.09.2013;Sommer
17.09.2013;Sommer
18.09.2013;Sommer
19.09.2013;Sommer
20.09.2013;Sommer
21.09.2013;Sommer
22.09.2013;Herbst
23.09.2013;Herbst
24.09.2013;Herbst
25.09.2013;Herbst
26.09.2013;Herbst
27.09.2013;Herbst
28.09.2013;Herbst
29.09.2013;Herbst
30.09.2013;Herbst
01.10.2013;Herbst
02.10.2013;Herbst
03.10.2013;Herbst
04.10.2013;Herbst
05.10.2013;Herbst
06.10.2013;Herbst
07.10.2013;Herbst
08.10.2013;Herbst
09.10.2013;Herbst
10.10.2013;Herbst
11.10.2013;Herbst
12.10.2013;Herbst
13.10.2013;Herbst
14.10.2013;Herbst
15.10.2013;Herbst
16.10.2013;Herbst
17.10.2013;Herbst
18.10.2013;Herbst
19.10.2013;Herbst
20.10.2013;Herbst
21.10.2013;Herbst
22.10.2013;Herbst
23.10.2013;Herbst
24.10.2013;Herbst
25.10.2013;Herbst
26.10.2013;Herbst
27.10.2013;Herbst
28.10.2013;Herbst
29.10.2013;Herbst
30.10.2013;Herbst
31.10.2013;Herbst
01.11.2013;Herbst
02.11.2013;Herbst
03.11.2013;Herbst
04.11.2013;Herbst
05.11.2013;Herbst
06.11.2013;Herbst
07.11.2013;Herbst
08.11.2013;Herbst
09.11.2013;Herbst
10.11.2013;Herbst
11.11.2013;Herbst
12.11.2013;Herbst
13.11.2013;Herbst
14.11.2013;Herbst
15.11.2013;Herbst
16.11.2013;Herbst
17.11.2013;Herbst
18.11.2013;Herbst
19.11.2013;Herbst
20.11.2013;Herbst
21.11.2013;Herbst
22.11.2013;Herbst
23.11.2013;Herbst
24.11.2013;Herbst
25.11.2013;Herbst
26.11.2013;Herbst
27.11.2013;Herbst
28.11.2013;Herbst
29.11.2013;Herbst
30.11.2013;Herbst
01.12.2013;Herbst
02.12.2013;Herbst
03.12.2013;Herbst
04.12.2013;Herbst
05.12.2013;Herbst
06.12.2013;Herbst
07.12.2013;Herbst
08.12.2013;Herbst
09.12.2013;Herbst
10.12.2013;Herbst
11.12.2013;Herbst
12.12.2013;Herbst
13.12.2013;Herbst
14.12.2013;Herbst
15.12.2013;Herbst
16.12.2013;Herbst
17.12.2013;Herbst
18.12.2013;Herbst
19.12.2013;Herbst
20.12.2013;Herbst
21.12.2013;Winter
22.12.2013;Winter
23.12.2013;Winter
24.12.2013;Winter
25.12.2013;Winter
26.12.2013;Winter
27.12.2013;Winter
28.12.2013;Winter
29.12.2013;Winter
30.12.2013;Winter
31.12.2013;Winter
01.01.2014;Winter
02.01.2014;Winter
03.01.2014;Winter
04.01.2014;Winter
05.01.2014;Winter
06.01.2014;Winter
07.01.2014;Winter
08.01.2014;Winter
09.01.2014;Winter
10.01.2014;Winter
11.01.2014;Winter
12.01.2014;Winter
13.01.2014;Winter
14.01.2014;Winter
15.01.2014;Winter
16.01.2014;Winter
17.01.2014;Winter
18.01.2014;Winter
19.01.2014;Winter
20.01.2014;Winter
21.01.2014;Winter
22.01.2014;Winter
23.01.2014;Winter
24.01.2014;Winter
25.01.2014;Winter
26.01.2014;Winter
27.01.2014;Winter
28.01.2014;Winter
29.01.2014;Winter
30.01.2014;Winter
31.01.2014;Winter
01.02.2014;Winter
02.02.2014;Winter
03.02.2014;Winter
04.02.2014;Winter
05.02.2014;Winter
06.02.2014;Winter
07.02.2014;Winter
08.02.2014;Winter
09.02.2014;Winter
10.02.2014;Winter
11.02.2014;Winter
12.02.2014;Winter
13.02.2014;Winter
14.02.2014;Winter
15.02.2014;Winter
16.02.2014;Winter
17.02.2014;Winter
18.02.2014;Winter
19.02.2014;Winter
20.02.2014;Winter
21.02.2014;Winter
22.02.2014;Winter
23.02.2014;Winter
24.02.2014;Winter
25.02.2014;Winter
26.02.2014;Winter
27.02.2014;Winter
28.02.2014;Winter
01.03.2014;Winter
02.03.2014;Winter
03.03.2014;Winter
04.03.2014;Winter
05.03.2014;Winter
06.03.2014;Winter
07.03.2014;Winter
08.03.2014;Winter
09.03.2014;Winter
10.03.2014;Winter
11.03.2014;Winter
12.03.2014;Winter
13.03.2014;Winter
14.03.2014;Winter
15.03.2014;Winter
16.03.2014;Winter
17.03.2014;Winter
18.03.2014;Winter
19.03.2014;Winter
20.03.2014;Fruehling
21.03.2014;Fruehling
22.03.2014;Fruehling
23.03.2014;Fruehling
24.03.2014;Fruehling
25.03.2014;Fruehling
26.03.2014;Fruehling
27.03.2014;Fruehling
28.03.2014;Fruehling
29.03.2014;Fruehling
30.03.2014;Fruehling
31.03.2014;Fruehling
01.04.2014;Fruehling
02.04.2014;Fruehling
03.04.2014;Fruehling
04.04.2014;Fruehling
05.04.2014;Fruehling
06.04.2014;Fruehling
07.04.2014;Fruehling
08.04.2014;Fruehling
09.04.2014;Fruehling
10.04.2014;Fruehling
11.04.2014;Fruehling
12.04.2014;Fruehling
13.04.2014;Fruehling
14.04.2014;Fruehling
15.04.2014;Fruehling
16.04.2014;Fruehling
17.04.2014;Fruehling
18.04.2014;Fruehling
19.04.2014;Fruehling
20.04.2014;Fruehling
21.04.2014;Fruehling
22.04.2014;Fruehling
23.04.2014;Fruehling
24.04.2014;Fruehling
25.04.2014;Fruehling
26.04.2014;Fruehling
27.04.2014;Fruehling
28.04.2014;Fruehling
29.04.2014;Fruehling
30.04.2014;Fruehling
01.05.2014;Fruehling
02.05.2014;Fruehling
03.05.2014;Fruehling
04.05.2014;Fruehling
05.05.2014;Fruehling
06.05.2014;Fruehling
07.05.2014;Fruehling
08.05.2014;Fruehling
09.05.2014;Fruehling
10.05.2014;Fruehling
11.05.2014;Fruehling
12.05.2014;Fruehling
13.05.2014;Fruehling
14.05.2014;Fruehling
15.05.2014;Fruehling
16.05.2014;Fruehling
17.05.2014;Fruehling
18.05.2014;Fruehling
19.05.2014;Fruehling
20.05.2014;Fruehling
21.05.2014;Fruehling
22.05.2014;Fruehling
23.05.2014;Fruehling
24.05.2014;Fruehling
25.05.2014;Fruehling
26.05.2014;Fruehling
27.05.2014;Fruehling
28.05.2014;Fruehling
29.05.2014;Fruehling
30.05.2014;Fruehling
31.05.2014;Fruehling
01.06.2014;Fruehling
02.06.2014;Fruehling
03.06.2014;Fruehling
04.06.2014;Fruehling
05.06.2014;Fruehling
06.06.2014;Fruehling
