Datum;SommerferienBaW
30.07.2015;1
31.07.2015;1
01.08.2015;1
02.08.2015;1
03.08.2015;1
04.08.2015;1
05.08.2015;1
06.08.2015;1
07.08.2015;1
08.08.2015;1
09.08.2015;1
10.08.2015;1
11.08.2015;1
12.08.2015;1
13.08.2015;1
14.08.2015;1
15.08.2015;1
16.08.2015;1
17.08.2015;1
18.08.2015;1
19.08.2015;1
20.08.2015;1
21.08.2015;1
22.08.2015;1
23.08.2015;1
24.08.2015;1
25.08.2015;1
26.08.2015;1
27.08.2015;1
28.08.2015;1
29.08.2015;1
30.08.2015;1
31.08.2015;1
01.09.2015;1
02.09.2015;1
03.09.2015;1
04.09.2015;1
05.09.2015;1
06.09.2015;1
07.09.2015;1
08.09.2015;1
09.09.2015;1
10.09.2015;1
11.09.2015;1
12.09.2015;1
28.07.2016;1
29.07.2016;1
30.07.2016;1
31.07.2016;1
01.08.2016;1
02.08.2016;1
03.08.2016;1
04.08.2016;1
05.08.2016;1
06.08.2016;1
07.08.2016;1
08.08.2016;1
09.08.2016;1
10.08.2016;1
11.08.2016;1
12.08.2016;1
13.08.2016;1
14.08.2016;1
15.08.2016;1
16.08.2016;1
17.08.2016;1
18.08.2016;1
19.08.2016;1
20.08.2016;1
21.08.2016;1
22.08.2016;1
23.08.2016;1
24.08.2016;1
25.08.2016;1
26.08.2016;1
27.08.2016;1
28.08.2016;1
29.08.2016;1
30.08.2016;1
31.08.2016;1
01.09.2016;1
02.09.2016;1
03.09.2016;1
04.09.2016;1
05.09.2016;1
06.09.2016;1
07.09.2016;1
08.09.2016;1
09.09.2016;1
10.09.2016;1
27.07.2017;1
28.07.2017;1
29.07.2017;1
30.07.2017;1
31.07.2017;1
01.08.2017;1
02.08.2017;1
03.08.2017;1
04.08.2017;1
05.08.2017;1
06.08.2017;1
07.08.2017;1
08.08.2017;1
09.08.2017;1
10.08.2017;1
11.08.2017;1
12.08.2017;1
13.08.2017;1
14.08.2017;1
15.08.2017;1
16.08.2017;1
17.08.2017;1
18.08.2017;1
19.08.2017;1
20.08.2017;1
21.08.2017;1
22.08.2017;1
23.08.2017;1
24.08.2017;1
25.08.2017;1
26.08.2017;1
27.08.2017;1
28.08.2017;1
29.08.2017;1
30.08.2017;1
31.08.2017;1
01.09.2017;1
02.09.2017;1
03.09.2017;1
04.09.2017;1
05.09.2017;1
06.09.2017;1
07.09.2017;1
08.09.2017;1
09.09.2017;1
26.07.2018;1
27.07.2018;1
28.07.2018;1
29.07.2018;1
30.07.2018;1
31.07.2018;1
01.08.2018;1
02.08.2018;1
03.08.2018;1
04.08.2018;1
05.08.2018;1
06.08.2018;1
07.08.2018;1
08.08.2018;1
09.08.2018;1
10.08.2018;1
11.08.2018;1
12.08.2018;1
13.08.2018;1
14.08.2018;1
15.08.2018;1
16.08.2018;1
17.08.2018;1
18.08.2018;1
19.08.2018;1
20.08.2018;1
21.08.2018;1
22.08.2018;1
23.08.2018;1
24.08.2018;1
25.08.2018;1
26.08.2018;1
27.08.2018;1
28.08.2018;1
29.08.2018;1
30.08.2018;1
31.08.2018;1
01.09.2018;1
02.09.2018;1
03.09.2018;1
04.09.2018;1
05.09.2018;1
06.09.2018;1
07.09.2018;1
08.09.2018;1
29.07.2019;1
30.07.2019;1
31.07.2019;1
01.08.2019;1
02.08.2019;1
03.08.2019;1
04.08.2019;1
05.08.2019;1
06.08.2019;1
07.08.2019;1
08.08.2019;1
09.08.2019;1
10.08.2019;1
11.08.2019;1
12.08.2019;1
13.08.2019;1
14.08.2019;1
15.08.2019;1
16.08.2019;1
17.08.2019;1
18.08.2019;1
19.08.2019;1
20.08.2019;1
21.08.2019;1
22.08.2019;1
23.08.2019;1
24.08.2019;1
25.08.2019;1
26.08.2019;1
27.08.2019;1
28.08.2019;1
29.08.2019;1
30.08.2019;1
31.08.2019;1
01.09.2019;1
02.09.2019;1
03.09.2019;1
04.09.2019;1
05.09.2019;1
06.09.2019;1
07.09.2019;1
08.09.2019;1
09.09.2019;1
10.09.2019;1
