Datum;SommerferienNRW
2015-06-29;1
2015-06-30;1
2015-07-01;1
2015-07-02;1
2015-07-03;1
2015-07-04;1
2015-07-05;1
2015-07-06;1
2015-07-07;1
2015-07-08;1
2015-07-09;1
2015-07-10;1
2015-07-11;1
2015-07-12;1
2015-07-13;1
2015-07-14;1
2015-07-15;1
2015-07-16;1
2015-07-17;1
2015-07-18;1
2015-07-19;1
2015-07-20;1
2015-07-21;1
2015-07-22;1
2015-07-23;1
2015-07-24;1
2015-07-25;1
2015-07-26;1
2015-07-27;1
2015-07-28;1
2015-07-29;1
2015-07-30;1
2015-07-31;1
2015-08-01;1
2015-08-02;1
2015-08-03;1
2015-08-04;1
2015-08-05;1
2015-08-06;1
2015-08-07;1
2015-08-08;1
2015-08-09;1
2015-08-10;1
2015-08-11;1
2016-07-11;1
2016-07-12;1
2016-07-13;1
2016-07-14;1
2016-07-15;1
2016-07-16;1
2016-07-17;1
2016-07-18;1
2016-07-19;1
2016-07-20;1
2016-07-21;1
2016-07-22;1
2016-07-23;1
2016-07-24;1
2016-07-25;1
2016-07-26;1
2016-07-27;1
2016-07-28;1
2016-07-29;1
2016-07-30;1
2016-07-31;1
2016-08-01;1
2016-08-02;1
2016-08-03;1
2016-08-04;1
2016-08-05;1
2016-08-06;1
2016-08-07;1
2016-08-08;1
2016-08-09;1
2016-08-10;1
2016-08-11;1
2016-08-12;1
2016-08-13;1
2016-08-14;1
2016-08-15;1
2016-08-16;1
2016-08-17;1
2016-08-18;1
2016-08-19;1
2016-08-20;1
2016-08-21;1
2016-08-22;1
2016-08-23;1
2017-07-17;1
2017-07-18;1
2017-07-19;1
2017-07-20;1
2017-07-21;1
2017-07-22;1
2017-07-23;1
2017-07-24;1
2017-07-25;1
2017-07-26;1
2017-07-27;1
2017-07-28;1
2017-07-29;1
2017-07-30;1
2017-07-31;1
2017-08-01;1
2017-08-02;1
2017-08-03;1
2017-08-04;1
2017-08-05;1
2017-08-06;1
2017-08-07;1
2017-08-08;1
2017-08-09;1
2017-08-10;1
2017-08-11;1
2017-08-12;1
2017-08-13;1
2017-08-14;1
2017-08-15;1
2017-08-16;1
2017-08-17;1
2017-08-18;1
2017-08-19;1
2017-08-20;1
2017-08-21;1
2017-08-22;1
2017-08-23;1
2017-08-24;1
2017-08-25;1
2017-08-26;1
2017-08-27;1
2017-08-28;1
2017-08-29;1
2018-07-16;1
2018-07-17;1
2018-07-18;1
2018-07-19;1
2018-07-20;1
2018-07-21;1
2018-07-22;1
2018-07-23;1
2018-07-24;1
2018-07-25;1
2018-07-26;1
2018-07-27;1
2018-07-28;1
2018-07-29;1
2018-07-30;1
2018-07-31;1
2018-08-01;1
2018-08-02;1
2018-08-03;1
2018-08-04;1
2018-08-05;1
2018-08-06;1
2018-08-07;1
2018-08-08;1
2018-08-09;1
2018-08-10;1
2018-08-11;1
2018-08-12;1
2018-08-13;1
2018-08-14;1
2018-08-15;1
2018-08-16;1
2018-08-17;1
2018-08-18;1
2018-08-19;1
2018-08-20;1
2018-08-21;1
2018-08-22;1
2018-08-23;1
2018-08-24;1
2018-08-25;1
2018-08-26;1
2018-08-27;1
2018-08-28;1
2019-07-15;1
2019-07-16;1
2019-07-17;1
2019-07-18;1
2019-07-19;1
2019-07-20;1
2019-07-21;1
2019-07-22;1
2019-07-23;1
2019-07-24;1
2019-07-25;1
2019-07-26;1
2019-07-27;1
2019-07-28;1
2019-07-29;1
2019-07-30;1
2019-07-31;1
2019-08-01;1
2019-08-02;1
2019-08-03;1
2019-08-04;1
2019-08-05;1
2019-08-06;1
2019-08-07;1
2019-08-08;1
2019-08-09;1
2019-08-10;1
2019-08-11;1
2019-08-12;1
2019-08-13;1
2019-08-14;1
2019-08-15;1
2019-08-16;1
2019-08-17;1
2019-08-18;1
2019-08-19;1
2019-08-20;1
2019-08-21;1
2019-08-22;1
2019-08-23;1
2019-08-24;1
2019-08-25;1
2019-08-26;1
2019-08-27;1
