Datum;Wochentag;Tickets
29.05.2015;Freitag;0
30.05.2015;Samstag;8
31.05.2015;Sonntag;11
01.06.2015;Montag;2
02.06.2015;Dienstag;0
03.06.2015;Mittwoch;4
04.06.2015;Donnerstag;2
05.06.2015;Freitag;3
06.06.2015;Samstag;10
07.06.2015;Sonntag;0
08.06.2015;Montag;2
09.06.2015;Dienstag;5
10.06.2015;Mittwoch;4
11.06.2015;Donnerstag;7
12.06.2015;Freitag;2
13.06.2015;Samstag;12
14.06.2015;Sonntag;7
15.06.2015;Montag;7
16.06.2015;Dienstag;11
17.06.2015;Mittwoch;9
18.06.2015;Donnerstag;14
19.06.2015;Freitag;14
20.06.2015;Samstag;10
21.06.2015;Sonntag;6
22.06.2015;Montag;6
23.06.2015;Dienstag;7
24.06.2015;Mittwoch;11
25.06.2015;Donnerstag;1
26.06.2015;Freitag;2
27.06.2015;Samstag;6
28.06.2015;Sonntag;3
29.06.2015;Montag;3
30.06.2015;Dienstag;0
01.07.2015;Mittwoch;1
02.07.2015;Donnerstag;0
03.07.2015;Freitag;6
04.07.2015;Samstag;5
05.07.2015;Sonntag;5
06.07.2015;Montag;1
07.07.2015;Dienstag;5
08.07.2015;Mittwoch;101
09.07.2015;Donnerstag;10
10.07.2015;Freitag;6
11.07.2015;Samstag;4
12.07.2015;Sonntag;23
13.07.2015;Montag;3
14.07.2015;Dienstag;3
15.07.2015;Mittwoch;17
16.07.2015;Donnerstag;279
17.07.2015;Freitag;223
18.07.2015;Samstag;413
19.07.2015;Sonntag;991
20.07.2015;Montag;350
21.07.2015;Dienstag;491
22.07.2015;Mittwoch;314
23.07.2015;Donnerstag;419
24.07.2015;Freitag;327
25.07.2015;Samstag;628
26.07.2015;Sonntag;630
27.07.2015;Montag;681
28.07.2015;Dienstag;905
29.07.2015;Mittwoch;891
30.07.2015;Donnerstag;798
31.07.2015;Freitag;526
01.08.2015;Samstag;392
02.08.2015;Sonntag;237
03.08.2015;Montag;3
04.08.2015;Dienstag;5
05.08.2015;Mittwoch;16
06.08.2015;Donnerstag;11
07.08.2015;Freitag;7
08.08.2015;Samstag;12
09.08.2015;Sonntag;5
10.08.2015;Montag;3
11.08.2015;Dienstag;14
12.08.2015;Mittwoch;59
13.08.2015;Donnerstag;10
14.08.2015;Freitag;16
15.08.2015;Samstag;12
16.08.2015;Sonntag;8
17.08.2015;Montag;7
18.08.2015;Dienstag;64
19.08.2015;Mittwoch;550
20.08.2015;Donnerstag;11
21.08.2015;Freitag;6
22.08.2015;Samstag;10
23.08.2015;Sonntag;11
24.08.2015;Montag;12
25.08.2015;Dienstag;14
26.08.2015;Mittwoch;12
27.08.2015;Donnerstag;28
28.08.2015;Freitag;17
29.08.2015;Samstag;7
30.08.2015;Sonntag;8
31.08.2015;Montag;5
01.09.2015;Dienstag;11
02.09.2015;Mittwoch;33
03.09.2015;Donnerstag;6
04.09.2015;Freitag;12
05.09.2015;Samstag;38
06.09.2015;Sonntag;17
07.09.2015;Montag;12
08.09.2015;Dienstag;2
09.09.2015;Mittwoch;8
10.09.2015;Donnerstag;4
11.09.2015;Freitag;8
12.09.2015;Samstag;4
13.09.2015;Sonntag;3
14.09.2015;Montag;9
15.09.2015;Dienstag;4
16.09.2015;Mittwoch;6
17.09.2015;Donnerstag;2
18.09.2015;Freitag;14
19.09.2015;Samstag;17
20.09.2015;Sonntag;29
21.09.2015;Montag;2
22.09.2015;Dienstag;2
23.09.2015;Mittwoch;4
24.09.2015;Donnerstag;1
25.09.2015;Freitag;10
