Datum;Wochentag;Umsatz
29.05.2015;Freitag;0
30.05.2015;Samstag;0
31.05.2015;Sonntag;34.5
01.06.2015;Montag;31
02.06.2015;Dienstag;0
03.06.2015;Mittwoch;0
04.06.2015;Donnerstag;17
05.06.2015;Freitag;8
06.06.2015;Samstag;13
07.06.2015;Sonntag;20.5
08.06.2015;Montag;0
09.06.2015;Dienstag;8
10.06.2015;Mittwoch;22.5
11.06.2015;Donnerstag;13
12.06.2015;Freitag;4
13.06.2015;Samstag;8
14.06.2015;Sonntag;40.5
15.06.2015;Montag;29.5
16.06.2015;Dienstag;30
17.06.2015;Mittwoch;37
18.06.2015;Donnerstag;27
19.06.2015;Freitag;50
20.06.2015;Samstag;36
21.06.2015;Sonntag;42
22.06.2015;Montag;16
23.06.2015;Dienstag;17
24.06.2015;Mittwoch;30
25.06.2015;Donnerstag;45
26.06.2015;Freitag;4
27.06.2015;Samstag;9
28.06.2015;Sonntag;17.5
29.06.2015;Montag;13
30.06.2015;Dienstag;4
01.07.2015;Mittwoch;0
02.07.2015;Donnerstag;4
03.07.2015;Freitag;0
04.07.2015;Samstag;16
05.07.2015;Sonntag;12.5
06.07.2015;Montag;17.5
07.07.2015;Dienstag;4.5
08.07.2015;Mittwoch;22.5
09.07.2015;Donnerstag;2495.65
10.07.2015;Freitag;33.5
11.07.2015;Samstag;17.5
12.07.2015;Sonntag;17
13.07.2015;Montag;59
14.07.2015;Dienstag;13
15.07.2015;Mittwoch;12.5
16.07.2015;Donnerstag;125
17.07.2015;Freitag;2491.5
18.07.2015;Samstag;1974.5
19.07.2015;Sonntag;3890.25
20.07.2015;Montag;8728
21.07.2015;Dienstag;3001.5
22.07.2015;Mittwoch;4793.5
23.07.2015;Donnerstag;2766.5
24.07.2015;Freitag;2922
25.07.2015;Samstag;2826
26.07.2015;Sonntag;5629
27.07.2015;Montag;5541.5
28.07.2015;Dienstag;5893
29.07.2015;Mittwoch;7840.5
30.07.2015;Donnerstag;7672
31.07.2015;Freitag;7209
01.08.2015;Samstag;4585.5
02.08.2015;Sonntag;3415.5
03.08.2015;Montag;2147.5
04.08.2015;Dienstag;13
05.08.2015;Mittwoch;16
06.08.2015;Donnerstag;57.5
07.08.2015;Freitag;42
08.08.2015;Samstag;29.5
09.08.2015;Sonntag;52.5
10.08.2015;Montag;22
11.08.2015;Dienstag;12.5
12.08.2015;Mittwoch;45.5
13.08.2015;Donnerstag;722.5
14.08.2015;Freitag;37
15.08.2015;Samstag;62.5
16.08.2015;Sonntag;51
17.08.2015;Montag;30.5
18.08.2015;Dienstag;29
19.08.2015;Mittwoch;771.5
20.08.2015;Donnerstag;4812.5
21.08.2015;Freitag;46.5
22.08.2015;Samstag;23
23.08.2015;Sonntag;35.5
24.08.2015;Montag;46.5
25.08.2015;Dienstag;51
26.08.2015;Mittwoch;17
27.08.2015;Donnerstag;43
28.08.2015;Freitag;93
29.08.2015;Samstag;74
30.08.2015;Sonntag;30.5
31.08.2015;Montag;32.5
01.09.2015;Dienstag;13.5
02.09.2015;Mittwoch;47
03.09.2015;Donnerstag;79.5
04.09.2015;Freitag;24.5
05.09.2015;Samstag;22
06.09.2015;Sonntag;131
07.09.2015;Montag;46.5
08.09.2015;Dienstag;40
09.09.2015;Mittwoch;9
10.09.2015;Donnerstag;34
11.09.2015;Freitag;8
12.09.2015;Samstag;33
13.09.2015;Sonntag;17.5
14.09.2015;Montag;0
15.09.2015;Dienstag;34
16.09.2015;Mittwoch;16
17.09.2015;Donnerstag;21.5
18.09.2015;Freitag;0
19.09.2015;Samstag;59.5
20.09.2015;Sonntag;61
21.09.2015;Montag;72.5
22.09.2015;Dienstag;0
23.09.2015;Mittwoch;7
24.09.2015;Donnerstag;16
25.09.2015;Freitag;0
26.09.2015;Samstag;29
27.09.2015;Sonntag;121.5
28.09.2015;Montag;13
29.09.2015;Dienstag;0
30.09.2015;Mittwoch;21
01.10.2015;Donnerstag;7
02.10.2015;Freitag;42
03.10.2015;Samstag;19.5
04.10.2015;Sonntag;17.5
05.10.2015;Montag;18
06.10.2015;Dienstag;25.5
07.10.2015;Mittwoch;12.5
08.10.2015;Donnerstag;45
09.10.2015;Freitag;42
10.10.2015;Samstag;15.5
11.10.2015;Sonntag;25.5
12.10.2015;Montag;39.5
13.10.2015;Dienstag;8.5
14.10.2015;Mittwoch;9
15.10.2015;Donnerstag;4.5
16.10.2015;Freitag;0
17.10.2015;Samstag;17
18.10.2015;Sonntag;30.5
19.10.2015;Montag;65
20.10.2015;Dienstag;31
21.10.2015;Mittwoch;26
22.10.2015;Donnerstag;8.5
23.10.2015;Freitag;16.5
24.10.2015;Samstag;25.5
25.10.2015;Sonntag;35
26.10.2015;Montag;21
