Datum;Tmax;Tmittel;Tmin;Tminboden;Windmax_BF;Niederschlag;Sonnenstunden
2015-05-29;18;11.8;3.6;-0.8;5;0;9200
2015-05-30;14.8;10.5;5.6;1.7;6;1.9;6600
2015-05-31;18.8;13;5.5;3.5;5;2.5;2100
2015-06-01;17;12.9;7.8;5.8;6;0;6533
2015-06-02;19.4;15.7;10;8.2;7;0;1
2015-06-03;18.1;14.7;6.5;1.7;7;0;8400
2015-06-04;20;12.5;4.1;-0.8;5;0;15083
2015-06-05;28.3;19.4;6.4;3.4;5;0;13483
2015-06-06;24.5;18.6;6.3;0.9;6;0;9400
2015-06-07;21.2;13.7;5;-0.2;5;0;13933
2015-06-08;17.7;12;4.7;-0.6;5;0;7183
2015-06-09;18.2;12.5;5.5;0.9;5;0;8983
2015-06-10;20.6;13.6;3.7;-0.9;5;0;15517
2015-06-11;22.2;14.4;4.8;-0.1;4;0;15133
2015-06-12;26.2;17.6;6.8;4;5;0;15433
2015-06-13;28.7;19.6;12.6;8.6;6;1.8;5433
2015-06-14;17.6;14.7;10.1;9.2;5;0;1067
2015-06-15;16.6;11.2;4.9;0.3;6;0;6250
2015-06-16;16.9;11.7;5.3;-0.8;5;0;2833
2015-06-17;19.8;13;3.4;-2;5;1.4;5900
2015-06-18;18.2;13.2;9.6;8.8;5;2.2;2000
2015-06-19;16.7;12.4;9.5;8.9;6;0;1050
2015-06-20;19.5;13.6;8.3;3.5;6;0;5450
2015-06-21;18.9;14;7.3;2.4;4;7.6;1967
2015-06-22;15.3;12.4;10.2;10.1;5;1.6;0
2015-06-23;19.4;13.9;9.9;9.5;5;0.1;4550
2015-06-24;16.8;13.1;10.3;9.9;5;0;1
2015-06-25;22.3;16.8;12.8;12.2;4;0.1;2950
2015-06-26;21.9;17.6;13.2;12.1;3;0;3450
2015-06-27;25;18.2;12.5;11.3;6;0;4267
2015-06-28;23.7;16.9;9.8;5.9;5;0.5;10067
2015-06-29;25.6;19.1;13.8;10.8;5;0;8650
2015-06-30;24;17.8;10.7;6.9;4;0;14083
2015-07-01;27.6;20;9.1;5.3;5;0;15633
2015-07-02;31.6;24.2;15.7;13.7;6;0;15583
2015-07-03;31.5;24.2;17.3;13.7;4;0;9950
2015-07-04;34.7;25;15.8;12.7;6;2.8;12567
2015-07-05;31.6;24.6;17;15.2;6;1.4;6567
2015-07-06;24;19.2;12.1;9.2;6;0;10467
2015-07-07;27.9;20;10.8;7.8;5;1.8;8150
2015-07-08;20.1;16.6;12.8;11.8;7;3;4583
2015-07-09;17.4;13.4;10.9;9.6;8;0.4;6367
2015-07-10;19.1;14.2;7.9;3.5;7;0;10067
2015-07-11;24.2;15.8;6;3;4;0;9267
2015-07-12;21.4;16.9;11.6;9.3;5;15.9;0
2015-07-13;22.4;17.1;14.8;14.7;5;0.8;2633
2015-07-14;20.6;16.7;12.5;11;3;1.8;1
2015-07-15;22.8;17.4;11.2;8.4;4;0.2;9717
2015-07-16;22.8;17.2;10.6;8.4;5;0;5933
2015-07-17;30.8;20.1;8.5;6.6;5;6.3;11433
2015-07-18;24.6;18.9;10.1;6.9;6;0;8967
2015-07-19;15.3;12.9;9.1;6;5;4.7;0
2015-07-20;21.8;16.7;11.4;9.9;5;0;8500
2015-07-21;25.2;20.1;13.2;10.4;6;1.6;10050
2015-07-22;26.9;20.4;13.1;11.2;5;0;11383
2015-07-23;20.2;16.2;8.9;5.6;5;0;5133
2015-07-24;24.1;16.9;6.7;4;5;13.1;9233
2015-07-25;26.2;17.8;13.4;13;7;10.9;4567
2015-07-26;20;15.8;12.3;11.8;7;0.6;7867
2015-07-27;19.6;15.3;12.7;12;5;9.1;1
2015-07-28;17.7;15.1;12.1;10.9;6;9.6;1
2015-07-29;18.3;14;10.4;10.5;7;15;3550
2015-07-30;17.1;13.3;12.1;11.6;6;2.7;0
2015-07-31;18.1;13.1;5.7;2.5;5;0;5367
2015-08-01;21.2;13.5;4.3;2.5;4;0;11583
2015-08-02;24.4;17.3;9.6;7.3;4;0;14117
2015-08-03;30.1;21.2;8.5;6.7;4;0;14467
2015-08-04;32.5;23;16.1;16;7;7.4;9433
2015-08-05;24.5;18.6;12.5;10.8;4;0;13167
2015-08-06;30.4;22.3;10.8;9.5;4;0;13917
2015-08-07;24.3;20.2;16.7;14.6;4;3;4533
2015-08-08;23.2;18.5;13.6;11;5;2.1;2317
2015-08-09;22.8;17.3;10.1;8;5;0;13717
2015-08-10;26.1;19.2;12.8;12;4;21.1;4283
2015-08-11;25.4;20.1;16.6;16.3;6;0.2;6550
2015-08-12;21.3;18.4;13.5;10.7;4;0;2617
2015-08-13;23.3;17.9;10.7;9.3;5;0;13900
2015-08-14;31.4;23.1;15.9;14.3;5;1.9;7900
2015-08-15;24.7;20.8;16.3;14.7;3;0;1867
2015-08-16;24.8;19.6;15.6;14.2;4;7.2;3800
2015-08-17;22.5;19.8;17.7;17.5;6;2.1;0
2015-08-18;20.4;17.5;15.6;15;4;0.9;0
2015-08-19;18.5;15.8;11.7;10;4;0;0
2015-08-20;22.9;16.1;11.3;7.8;4;0;7050
2015-08-21;25.6;17.4;8.4;5.8;4;0;13517
2015-08-22;25.9;17.8;8.9;6.1;5;0;13350
2015-08-23;25.1;17.9;10.1;6.4;6;0;11083
2015-08-24;24.6;19.1;13.6;10.8;5;0;2533
2015-08-25;21.6;17.7;15.1;13.9;6;1.9;4217
2015-08-26;24.9;19.5;13.5;11.7;5;0.6;7833
2015-08-27;21.4;17.5;13.5;13.2;5;7.5;0
2015-08-28;20.8;16;12.3;9.9;4;2;5333
2015-08-29;23.4;16;8.3;6.3;4;0;8683
2015-08-30;22;16.7;10.5;9;3;6.5;3433
2015-08-31;26.9;20.1;15.4;14.4;4;0;8600
2015-09-01;21.9;17.5;12.8;11.3;5;0.5;0
2015-09-02;19.7;14.7;8.7;5.5;6;0;8700
2015-09-03;18.3;13.2;8.7;5.3;4;1.9;5450
2015-09-04;17.1;13.5;7.9;5.9;5;0.7;1
2015-09-05;16.7;13.1;10.6;9.1;7;9.1;3950
2015-09-06;18.8;13.7;8.8;6.3;6;0;6000
2015-09-07;18.5;12.9;8.1;5.2;5;0;11583
2015-09-08;19.4;13;7.8;4.1;5;0;7083
2015-09-09;18.6;11.9;4.9;1.6;5;0;10600
2015-09-10;20;12.9;4.6;1.2;5;1.7;8733
2015-09-11;16.3;12.6;8.1;5.1;5;0.5;1
2015-09-12;20.3;14.9;6.7;5.8;5;6.6;6050
2015-09-13;20.7;17;14.6;14.3;4;1.5;1350
2015-09-14;19;16.6;14;13;5;14.3;2650
2015-09-15;16.8;13.6;10.7;9.3;6;0.2;5483
2015-09-16;17.3;14.3;10.7;9.4;5;3;0
2015-09-17;18.7;17;13.5;12.9;6;0.7;0
2015-09-18;19.4;14.6;10.4;7.7;5;1.9;8533
2015-09-19;16.1;12.8;9.3;6.3;3;2.6;1
2015-09-20;16.4;12.3;8.4;5.1;6;3.8;5317
2015-09-21;14.4;11.8;7;3.8;3;0.4;0
2015-09-22;15.6;13.4;11.6;10.7;4;0.3;0
2015-09-23;16.3;12.3;9.5;6.4;4;0;3750
2015-09-24;17;13.4;9.3;7;5;0.3;3967
2015-09-25;17.3;12.1;5.9;3;4;0;6233
2015-09-26;17;11;4.4;1.3;4;0;7150
2015-09-27;17.1;10.2;4.5;1.1;4;0;9767
2015-09-28;17.6;9.1;2.9;-0.2;3;0;7350
2015-09-29;16.8;9.4;3.3;0.5;5;0;7183
2015-09-30;16.6;8.8;2.3;-0.7;4;0;9417
2015-10-01;17.6;9.2;2.1;-0.9;4;0;8533
2015-10-02;16.9;8.8;3.2;1.6;3;0;5283
2015-10-03;17.7;8.9;0.9;0.1;4;0;8800
2015-10-04;18.9;11.5;4.8;3;4;0;8950
2015-10-05;18.4;11.6;4.1;2.8;4;0;6733
2015-10-06;15.8;13.6;10.5;9.2;6;0.6;0
2015-10-07;14.3;12.9;10.9;10.9;5;10.8;0
2015-10-08;11.1;10.1;8.3;8.2;3;0.8;0
2015-10-09;12.1;9;5.2;3.1;3;1.3;0
2015-10-10;10.2;5.7;0.1;-3.9;5;0;9767
2015-10-11;10.5;3.9;-1.9;-4.6;5;0;10083
2015-10-12;8.9;3.2;-1.5;-4.3;5;0;9033
2015-10-13;8.1;4.5;-1.5;-3.3;3;0;0
2015-10-14;7.8;5.9;4.4;4.2;5;5.1;0
2015-10-15;9.5;7;5.8;5.7;5;2.5;0
2015-10-16;8.9;7.7;6.3;6.2;3;10.6;0
2015-10-17;9.8;8.6;7.6;7.6;3;3.2;0
2015-10-18;9.6;8.6;7.7;7.7;3;4.1;0
2015-10-19;12.9;9.1;5.3;2;4;0;6433
2015-10-20;12.1;8.8;6.8;6.5;3;0;0
2015-10-21;12.1;9.8;7.3;6;4;0;0
2015-10-22;12.7;10.7;9.2;8.1;6;0.2;0
2015-10-23;15.3;10.5;4.3;2.2;5;0;4750
2015-10-24;12.8;9.8;6.1;2.8;3;0;3400
2015-10-25;14.8;9.8;2.7;-0.4;5;0;4550
2015-10-26;12.5;5.1;-0.4;-2.4;4;0;7583
2015-10-27;12.5;6.4;0.1;-2.9;4;0;8917
2015-10-28;11.9;6.5;1.7;-0.5;4;0;7400
2015-10-29;12.5;6;0.5;-1.3;3;0;5050
2015-10-30;12.8;8.4;6.3;6.1;4;0;1533
2015-10-31;12.8;9.5;6.5;5;5;0;7217
2015-11-01;14.1;7.4;2.4;-0.7;3;0;6167
2015-11-02;8.1;7.1;5.7;5.9;3;0;0
2015-11-03;6.1;3.8;1.6;2.1;3;0;0
2015-11-04;8.2;4.2;0.1;0.5;3;0.1;6033
2015-11-05;14.5;10.6;7.2;6.1;3;6;1133
2015-11-06;14;12.6;11.2;10.7;4;9.5;0
2015-11-07;16.9;15.2;13.2;12.8;7;3.8;0
2015-11-08;14.9;12.2;9.8;7.4;7;5.9;5267
2015-11-09;14.5;12.4;10.3;9.7;6;4;1367
2015-11-10;15.9;14.2;11.4;11.1;7;4.8;0
2015-11-11;15;13.4;11.8;11.2;5;0.1;0
2015-11-12;14.8;11.4;6.9;2.6;6;0;4483
2015-11-13;14.1;10;6.7;5.1;8;1.2;2683
2015-11-14;8.3;7;5.8;4.4;7;7.4;1033
2015-11-15;8.8;8;6.8;6.4;4;24.3;0
2015-11-16;12.6;10.9;8.6;8.1;5;2.9;0
2015-11-17;13.8;10.6;9;8.3;6;9.6;0
2015-11-18;14;11.1;9.8;8.5;8;6.7;0
2015-11-19;11.5;10;8;6.8;8;5.8;1
2015-11-20;8.3;7.3;5.6;5.3;6;1.5;0
2015-11-21;5.7;4.3;0.8;-0.3;5;1.1;0
2015-11-22;1;-0.1;-2;-5.4;5;6.7;0
2015-11-23;4.2;1.8;-0.5;-3.7;4;0;7200
2015-11-24;4.4;2.6;1.4;1;6;1.6;0
2015-11-25;5;3.3;1.3;-0.2;4;0.3;0
2015-11-26;7.3;3.2;0.2;-4.6;4;0;7150
2015-11-27;5.7;2.5;0.1;-4.4;5;0.2;2933
2015-11-28;7.1;3.9;1.6;1.3;5;6;1933
2015-11-29;10.5;7.6;4;3.4;8;8;0
2015-11-30;6.7;4.6;2.1;0.3;7;3.4;1
2015-12-01;7.1;5.4;3.1;1.7;5;2.2;0
2015-12-02;10.9;9.9;6;5.8;5;0;0
2015-12-03;10.4;9.2;7.2;6.2;4;0;1
2015-12-04;9.8;8.4;6;5;7;0.4;0
2015-12-05;9.4;8.8;8;6.6;6;0;0
2015-12-06;11.7;9.4;6.9;5.5;7;1.7;1
2015-12-07;10.3;8.6;5.4;4.1;5;0;0
2015-12-08;11.9;9.4;6.9;3.9;4;1.5;5183
2015-12-09;9.8;7.7;3.9;2.6;5;0;1333
2015-12-10;7.5;5.4;3.5;2.1;5;1.4;3683
2015-12-11;7.8;5.4;3.6;1.5;6;1.7;0
2015-12-12;7.5;5.4;3.5;2.9;6;15.6;1950
2015-12-13;10.3;4.6;-2.3;-4.3;7;0;3933
2015-12-14;3.8;1.3;-3.6;-5.1;4;0;0
2015-12-15;5.7;3.8;2.1;0.6;4;0;0
2015-12-16;9.6;5.9;3.1;3;4;1.1;0
2015-12-17;12.6;11.5;9.7;9.3;4;0.5;0
2015-12-18;12.6;11.7;11;9.3;6;1;0
2015-12-19;12.8;11.4;9.6;8.2;5;0;1183
2015-12-20;12;10.9;9.3;7.8;4;0.2;0
2015-12-21;11.2;10.2;8.5;7.4;8;6.4;0
2015-12-22;13.4;10.6;7.8;6;7;1.2;0
2015-12-23;13.6;10.5;5.2;3.7;8;0.9;1183
2015-12-24;12;8.2;4.6;2;5;0.3;4233
2015-12-25;10.3;7.8;6.1;4.9;7;0.9;6117
2015-12-26;14.3;13;9.3;8.8;7;1.4;0
2015-12-27;13;10.5;3.7;-0.3;6;1.5;0
2015-12-28;5.5;3.6;-1.6;-2.9;5;0;0
2015-12-29;5.7;4.8;3.5;2.2;6;0;1617
2015-12-30;5.2;3.7;0.6;-0.7;6;0;0
2015-12-31;2.9;1.1;-0.3;-1.5;6;4;0
2016-01-01;4.2;2.5;-2;-4;3;0;1
2016-01-02;3.3;-1;-5.9;-5.6;6;0;0
2016-01-03;-5.3;-6.8;-8;-8.6;6;0;0
2016-01-04;-6.9;-8.1;-10;-10.4;6;0;0
2016-01-05;-6.3;-7.3;-8.8;-9.5;5;0;0
2016-01-06;-4.6;-8.8;-11.9;-14.6;4;0;5717
