Datum;Winter
21.12.2013;1
22.12.2013;1
23.12.2013;1
24.12.2013;1
25.12.2013;1
26.12.2013;1
27.12.2013;1
28.12.2013;1
29.12.2013;1
30.12.2013;1
31.12.2013;1
01.01.2014;1
02.01.2014;1
03.01.2014;1
04.01.2014;1
05.01.2014;1
06.01.2014;1
07.01.2014;1
08.01.2014;1
09.01.2014;1
10.01.2014;1
11.01.2014;1
12.01.2014;1
13.01.2014;1
14.01.2014;1
15.01.2014;1
16.01.2014;1
17.01.2014;1
18.01.2014;1
19.01.2014;1
20.01.2014;1
21.01.2014;1
22.01.2014;1
23.01.2014;1
24.01.2014;1
25.01.2014;1
26.01.2014;1
27.01.2014;1
28.01.2014;1
29.01.2014;1
30.01.2014;1
31.01.2014;1
01.02.2014;1
02.02.2014;1
03.02.2014;1
04.02.2014;1
05.02.2014;1
06.02.2014;1
07.02.2014;1
08.02.2014;1
09.02.2014;1
10.02.2014;1
11.02.2014;1
12.02.2014;1
13.02.2014;1
14.02.2014;1
15.02.2014;1
16.02.2014;1
17.02.2014;1
18.02.2014;1
19.02.2014;1
20.02.2014;1
21.02.2014;1
22.02.2014;1
23.02.2014;1
24.02.2014;1
25.02.2014;1
26.02.2014;1
27.02.2014;1
28.02.2014;1
01.03.2014;1
02.03.2014;1
03.03.2014;1
04.03.2014;1
05.03.2014;1
06.03.2014;1
07.03.2014;1
08.03.2014;1
09.03.2014;1
10.03.2014;1
11.03.2014;1
12.03.2014;1
13.03.2014;1
14.03.2014;1
15.03.2014;1
16.03.2014;1
17.03.2014;1
18.03.2014;1
19.03.2014;1
22.12.2014;1
23.12.2014;1
24.12.2014;1
25.12.2014;1
26.12.2014;1
27.12.2014;1
28.12.2014;1
29.12.2014;1
30.12.2014;1
31.12.2014;1
01.01.2015;1
02.01.2015;1
03.01.2015;1
04.01.2015;1
05.01.2015;1
06.01.2015;1
07.01.2015;1
08.01.2015;1
09.01.2015;1
10.01.2015;1
11.01.2015;1
12.01.2015;1
13.01.2015;1
14.01.2015;1
15.01.2015;1
16.01.2015;1
17.01.2015;1
18.01.2015;1
19.01.2015;1
20.01.2015;1
21.01.2015;1
22.01.2015;1
23.01.2015;1
24.01.2015;1
25.01.2015;1
26.01.2015;1
27.01.2015;1
28.01.2015;1
29.01.2015;1
30.01.2015;1
31.01.2015;1
01.02.2015;1
02.02.2015;1
03.02.2015;1
04.02.2015;1
05.02.2015;1
06.02.2015;1
07.02.2015;1
08.02.2015;1
09.02.2015;1
10.02.2015;1
11.02.2015;1
12.02.2015;1
13.02.2015;1
14.02.2015;1
15.02.2015;1
16.02.2015;1
17.02.2015;1
18.02.2015;1
19.02.2015;1
20.02.2015;1
21.02.2015;1
22.02.2015;1
23.02.2015;1
24.02.2015;1
25.02.2015;1
26.02.2015;1
27.02.2015;1
28.02.2015;1
01.03.2015;1
02.03.2015;1
03.03.2015;1
04.03.2015;1
05.03.2015;1
06.03.2015;1
07.03.2015;1
08.03.2015;1
09.03.2015;1
10.03.2015;1
11.03.2015;1
12.03.2015;1
13.03.2015;1
14.03.2015;1
15.03.2015;1
16.03.2015;1
17.03.2015;1
18.03.2015;1
19.03.2015;1
22.12.2015;1
23.12.2015;1
24.12.2015;1
25.12.2015;1
26.12.2015;1
27.12.2015;1
28.12.2015;1
29.12.2015;1
30.12.2015;1
31.12.2015;1
01.01.2016;1
02.01.2016;1
03.01.2016;1
04.01.2016;1
05.01.2016;1
06.01.2016;1
07.01.2016;1
08.01.2016;1
09.01.2016;1
10.01.2016;1
11.01.2016;1
12.01.2016;1
13.01.2016;1
14.01.2016;1
15.01.2016;1
16.01.2016;1
17.01.2016;1
18.01.2016;1
19.01.2016;1
20.01.2016;1
21.01.2016;1
22.01.2016;1
23.01.2016;1
24.01.2016;1
25.01.2016;1
26.01.2016;1
27.01.2016;1
28.01.2016;1
29.01.2016;1
30.01.2016;1
31.01.2016;1
01.02.2016;1
02.02.2016;1
03.02.2016;1
04.02.2016;1
05.02.2016;1
06.02.2016;1
07.02.2016;1
08.02.2016;1
09.02.2016;1
10.02.2016;1
11.02.2016;1
12.02.2016;1
13.02.2016;1
14.02.2016;1
15.02.2016;1
16.02.2016;1
17.02.2016;1
18.02.2016;1
19.02.2016;1
20.02.2016;1
21.02.2016;1
22.02.2016;1
23.02.2016;1
24.02.2016;1
25.02.2016;1
26.02.2016;1
27.02.2016;1
28.02.2016;1
29.02.2016;1
01.03.2016;1
02.03.2016;1
03.03.2016;1
04.03.2016;1
05.03.2016;1
06.03.2016;1
07.03.2016;1
08.03.2016;1
09.03.2016;1
10.03.2016;1
11.03.2016;1
12.03.2016;1
13.03.2016;1
14.03.2016;1
15.03.2016;1
16.03.2016;1
17.03.2016;1
18.03.2016;1
19.03.2016;1
21.12.2016;1
22.12.2016;1
23.12.2016;1
24.12.2016;1
25.12.2016;1
26.12.2016;1
27.12.2016;1
28.12.2016;1
29.12.2016;1
30.12.2016;1
31.12.2016;1
01.01.2017;1
